cust_number,due_date,clear_date,date_diff(cd-dd)
200769623,16-01-2019,11-01-2019,-5
200769623,16-01-2019,11-01-2019,-5
200769623,14-01-2019,11-01-2019,-3
200769623,15-01-2019,11-01-2019,-4
200779111,15-01-2019,11-01-2019,-4
200803720,11-01-2019,11-01-2019,0
200803720,11-01-2019,11-01-2019,0
100000533,29-01-2019,14-01-2019,-15
100019293,20-01-2019,14-01-2019,-6
100031704,14-01-2019,14-01-2019,0
140104429,14-01-2019,14-01-2019,0
140104429,13-01-2019,14-01-2019,1
140105847,12-01-2019,14-01-2019,2
200148860,14-01-2019,14-01-2019,0
200148860,14-01-2019,14-01-2019,0
200557600,23-01-2019,14-01-2019,-9
200704045,14-01-2019,14-01-2019,0
200707822,14-01-2019,14-01-2019,0
200719526,15-01-2019,14-01-2019,-1
200723794,14-01-2019,14-01-2019,0
200749225,14-01-2019,14-01-2019,0
200762950,14-01-2019,14-01-2019,0
200769623,18-01-2019,14-01-2019,-4
200769623,17-01-2019,14-01-2019,-3
200769623,17-01-2019,14-01-2019,-3
200769623,16-01-2019,14-01-2019,-2
200769623,17-01-2019,14-01-2019,-3
200769623,17-01-2019,14-01-2019,-3
200769623,17-01-2019,14-01-2019,-3
200769623,16-01-2019,14-01-2019,-2
200769623,18-01-2019,14-01-2019,-4
200769623,16-01-2019,14-01-2019,-2
200769623,16-01-2019,14-01-2019,-2
200769623,16-01-2019,14-01-2019,-2
200769623,16-01-2019,14-01-2019,-2
200769623,17-01-2019,14-01-2019,-3
200769623,18-01-2019,14-01-2019,-4
200769623,17-01-2019,14-01-2019,-3
200769623,17-01-2019,14-01-2019,-3
200769623,18-01-2019,14-01-2019,-4
200769623,17-01-2019,14-01-2019,-3
200769623,15-01-2019,14-01-2019,-1
200769623,18-01-2019,14-01-2019,-4
200769623,17-01-2019,14-01-2019,-3
200769623,18-01-2019,14-01-2019,-4
200769623,17-01-2019,14-01-2019,-3
200769623,17-01-2019,14-01-2019,-3
200769623,17-01-2019,14-01-2019,-3
200769623,17-01-2019,14-01-2019,-3
200769623,15-01-2019,14-01-2019,-1
200769623,18-01-2019,14-01-2019,-4
200769623,16-01-2019,14-01-2019,-2
200769623,15-01-2019,14-01-2019,-1
200769623,18-01-2019,14-01-2019,-4
200769623,17-01-2019,14-01-2019,-3
200769623,18-01-2019,14-01-2019,-4
200769623,17-01-2019,14-01-2019,-3
200769623,17-01-2019,14-01-2019,-3
200769623,17-01-2019,14-01-2019,-3
200769623,15-01-2019,14-01-2019,-1
200769623,16-01-2019,14-01-2019,-2
200772595,14-01-2019,14-01-2019,0
200780383,14-01-2019,14-01-2019,0
200794332,14-01-2019,14-01-2019,0
200794332,17-01-2019,14-01-2019,-3
200794332,15-01-2019,14-01-2019,-1
100014724,24-01-2019,15-01-2019,-9
100014724,24-01-2019,15-01-2019,-9
100044041,24-01-2019,15-01-2019,-9
140104423,14-01-2019,15-01-2019,1
200002965,24-01-2019,15-01-2019,-9
200020431,24-01-2019,15-01-2019,-9
200020431,24-01-2019,15-01-2019,-9
200020431,24-01-2019,15-01-2019,-9
200020431,24-01-2019,15-01-2019,-9
200020431,24-01-2019,15-01-2019,-9
200020431,24-01-2019,15-01-2019,-9
200020431,24-01-2019,15-01-2019,-9
200020431,24-01-2019,15-01-2019,-9
200230690,24-01-2019,15-01-2019,-9
200230690,24-01-2019,15-01-2019,-9
200230690,24-01-2019,15-01-2019,-9
200230690,24-01-2019,15-01-2019,-9
200230690,24-01-2019,15-01-2019,-9
200230690,24-01-2019,15-01-2019,-9
200353024,24-01-2019,15-01-2019,-9
200353024,24-01-2019,15-01-2019,-9
200416837,24-01-2019,15-01-2019,-9
200416837,24-01-2019,15-01-2019,-9
200416837,24-01-2019,15-01-2019,-9
200416837,24-01-2019,15-01-2019,-9
200416837,24-01-2019,15-01-2019,-9
200555117,14-01-2019,15-01-2019,1
200561861,15-01-2019,15-01-2019,0
200592182,24-01-2019,15-01-2019,-9
200592182,24-01-2019,15-01-2019,-9
200592182,24-01-2019,15-01-2019,-9
200592182,24-01-2019,15-01-2019,-9
200592182,24-01-2019,15-01-2019,-9
200704045,15-01-2019,15-01-2019,0
200705742,20-01-2019,15-01-2019,-5
200705742,03-02-2019,15-01-2019,-19
200705742,01-02-2019,15-01-2019,-17
200705742,28-01-2019,15-01-2019,-13
200714710,17-01-2019,15-01-2019,-2
200714710,17-01-2019,15-01-2019,-2
200714710,17-01-2019,15-01-2019,-2
200722444,24-01-2019,15-01-2019,-9
200726979,14-01-2019,15-01-2019,1
200726979,15-01-2019,15-01-2019,0
200726979,14-01-2019,15-01-2019,1
200726979,15-01-2019,15-01-2019,0
200726979,15-01-2019,15-01-2019,0
200726979,15-01-2019,15-01-2019,0
200726979,15-01-2019,15-01-2019,0
200726979,15-01-2019,15-01-2019,0
200726979,14-01-2019,15-01-2019,1
200726979,14-01-2019,15-01-2019,1
200726979,14-01-2019,15-01-2019,1
200726979,14-01-2019,15-01-2019,1
200726979,15-01-2019,15-01-2019,0
200726979,14-01-2019,15-01-2019,1
200726979,14-01-2019,15-01-2019,1
200732755,15-01-2019,15-01-2019,0
200741831,15-01-2019,15-01-2019,0
200749782,15-01-2019,15-01-2019,0
200756072,17-01-2019,15-01-2019,-2
200759878,14-01-2019,15-01-2019,1
200759878,14-01-2019,15-01-2019,1
200761734,16-01-2019,15-01-2019,-1
200762301,15-01-2019,15-01-2019,0
200762301,15-01-2019,15-01-2019,0
200762301,14-01-2019,15-01-2019,1
200762950,22-01-2019,15-01-2019,-7
200767729,19-01-2019,15-01-2019,-4
200769623,19-01-2019,15-01-2019,-4
200769623,20-01-2019,15-01-2019,-5
200769623,14-01-2019,15-01-2019,1
200769623,19-01-2019,15-01-2019,-4
200769623,18-01-2019,15-01-2019,-3
200769623,19-01-2019,15-01-2019,-4
200769623,20-01-2019,15-01-2019,-5
200769623,19-01-2019,15-01-2019,-4
200769623,19-01-2019,15-01-2019,-4
200769623,19-01-2019,15-01-2019,-4
200769623,14-01-2019,15-01-2019,1
200769623,19-01-2019,15-01-2019,-4
200769623,20-01-2019,15-01-2019,-5
200769623,20-01-2019,15-01-2019,-5
200769623,19-01-2019,15-01-2019,-4
200769623,20-01-2019,15-01-2019,-5
200769623,19-01-2019,15-01-2019,-4
200769623,19-01-2019,15-01-2019,-4
200769623,18-01-2019,15-01-2019,-3
200769623,19-01-2019,15-01-2019,-4
200769623,20-01-2019,15-01-2019,-5
200769623,20-01-2019,15-01-2019,-5
200769623,14-01-2019,15-01-2019,1
200769623,19-01-2019,15-01-2019,-4
200769623,19-01-2019,15-01-2019,-4
200769623,14-01-2019,15-01-2019,1
200769623,14-01-2019,15-01-2019,1
200769623,20-01-2019,15-01-2019,-5
200769623,19-01-2019,15-01-2019,-4
200769623,20-01-2019,15-01-2019,-5
200769623,18-01-2019,15-01-2019,-3
200769623,20-01-2019,15-01-2019,-5
200769623,19-01-2019,15-01-2019,-4
200769623,19-01-2019,15-01-2019,-4
200769623,20-01-2019,15-01-2019,-5
200769623,20-01-2019,15-01-2019,-5
200769623,19-01-2019,15-01-2019,-4
200769623,20-01-2019,15-01-2019,-5
200769623,19-01-2019,15-01-2019,-4
200769623,19-01-2019,15-01-2019,-4
200769623,19-01-2019,15-01-2019,-4
200782001,02-02-2019,15-01-2019,-18
200786288,17-01-2019,15-01-2019,-2
200793088,15-01-2019,15-01-2019,0
200794332,15-01-2019,15-01-2019,0
200803720,24-01-2019,15-01-2019,-9
200803720,24-01-2019,15-01-2019,-9
200803720,24-01-2019,15-01-2019,-9
200803720,24-01-2019,15-01-2019,-9
200803720,24-01-2019,15-01-2019,-9
200803720,24-01-2019,15-01-2019,-9
200803720,24-01-2019,15-01-2019,-9
200803720,24-01-2019,15-01-2019,-9
200965912,14-01-2019,15-01-2019,1
100000222,18-01-2019,16-01-2019,-2
100046760,16-01-2019,16-01-2019,0
200126819,16-01-2019,16-01-2019,0
200331749,17-01-2019,16-01-2019,-1
200337148,16-01-2019,16-01-2019,0
200353024,24-01-2019,16-01-2019,-8
200705742,16-01-2019,16-01-2019,0
200707822,16-01-2019,16-01-2019,0
200719526,17-01-2019,16-01-2019,-1
200719839,17-01-2019,16-01-2019,-1
200739941,20-01-2019,16-01-2019,-4
200762301,18-01-2019,16-01-2019,-2
200762301,18-01-2019,16-01-2019,-2
200769623,21-01-2019,16-01-2019,-5
200769623,21-01-2019,16-01-2019,-5
200769623,21-01-2019,16-01-2019,-5
200769623,21-01-2019,16-01-2019,-5
200769623,21-01-2019,16-01-2019,-5
200769623,17-01-2019,16-01-2019,-1
200769623,21-01-2019,16-01-2019,-5
200769623,21-01-2019,16-01-2019,-5
200769623,21-01-2019,16-01-2019,-5
200769623,21-01-2019,16-01-2019,-5
200769623,15-01-2019,16-01-2019,1
200769623,21-01-2019,16-01-2019,-5
200769623,21-01-2019,16-01-2019,-5
200769623,21-01-2019,16-01-2019,-5
200769623,21-01-2019,16-01-2019,-5
200769623,21-01-2019,16-01-2019,-5
200769623,21-01-2019,16-01-2019,-5
200772670,18-01-2019,16-01-2019,-2
200773364,16-01-2019,16-01-2019,0
200782772,17-01-2019,16-01-2019,-1
200792734,15-01-2019,16-01-2019,1
200793568,17-01-2019,16-01-2019,-1
200806580,23-01-2019,16-01-2019,-7
200806580,23-01-2019,16-01-2019,-7
200955827,14-01-2019,16-01-2019,2
100031704,19-01-2019,17-01-2019,-2
100036318,17-01-2019,17-01-2019,0
140104340,14-01-2019,17-01-2019,3
140104440,13-01-2019,17-01-2019,4
140105686,20-01-2019,17-01-2019,-3
140105686,13-01-2019,17-01-2019,4
200103402,17-01-2019,17-01-2019,0
200337148,17-01-2019,17-01-2019,0
200418007,17-01-2019,17-01-2019,0
200418007,17-01-2019,17-01-2019,0
200471970,05-02-2019,17-01-2019,-19
200705372,17-01-2019,17-01-2019,0
200705742,22-01-2019,17-01-2019,-5
200707741,17-01-2019,17-01-2019,0
200711029,17-01-2019,17-01-2019,0
200711029,17-01-2019,17-01-2019,0
200729942,15-01-2019,17-01-2019,2
200731999,26-01-2019,17-01-2019,-9
200759878,17-01-2019,17-01-2019,0
200759878,15-01-2019,17-01-2019,2
200762301,17-01-2019,17-01-2019,0
200762301,18-01-2019,17-01-2019,-1
200762301,17-01-2019,17-01-2019,0
200768357,17-01-2019,17-01-2019,0
200769623,22-01-2019,17-01-2019,-5
200769623,22-01-2019,17-01-2019,-5
200769623,21-01-2019,17-01-2019,-4
200769623,22-01-2019,17-01-2019,-5
200769623,22-01-2019,17-01-2019,-5
200769623,22-01-2019,17-01-2019,-5
200769623,22-01-2019,17-01-2019,-5
200769623,21-01-2019,17-01-2019,-4
200769623,21-01-2019,17-01-2019,-4
200769623,22-01-2019,17-01-2019,-5
200769623,22-01-2019,17-01-2019,-5
200769623,22-01-2019,17-01-2019,-5
200769623,22-01-2019,17-01-2019,-5
200769623,16-01-2019,17-01-2019,1
200772595,17-01-2019,17-01-2019,0
200772595,17-01-2019,17-01-2019,0
200772670,17-01-2019,17-01-2019,0
200772670,17-01-2019,17-01-2019,0
200772670,17-01-2019,17-01-2019,0
200783317,19-01-2019,17-01-2019,-2
200793513,17-01-2019,17-01-2019,0
200793513,17-01-2019,17-01-2019,0
200793568,16-01-2019,17-01-2019,1
200794332,18-01-2019,17-01-2019,-1
200794332,17-01-2019,17-01-2019,0
200794332,18-01-2019,17-01-2019,-1
200794332,18-01-2019,17-01-2019,-1
200794332,18-01-2019,17-01-2019,-1
200799367,16-01-2019,17-01-2019,1
200974851,17-01-2019,17-01-2019,0
200974851,17-01-2019,17-01-2019,0
200974851,17-01-2019,17-01-2019,0
100015818,19-01-2019,18-01-2019,-1
100033439,19-01-2019,18-01-2019,-1
100033558,14-02-2019,18-01-2019,-27
100036066,18-01-2019,18-01-2019,0
140104423,20-01-2019,18-01-2019,-2
140104423,17-01-2019,18-01-2019,1
140104429,20-01-2019,18-01-2019,-2
140104429,18-01-2019,18-01-2019,0
140104429,20-01-2019,18-01-2019,-2
140104429,19-01-2019,18-01-2019,-1
140104440,14-01-2019,18-01-2019,4
140105847,13-01-2019,18-01-2019,5
200152991,20-01-2019,18-01-2019,-2
200152991,18-01-2019,18-01-2019,0
200200412,20-01-2019,18-01-2019,-2
200337148,22-01-2019,18-01-2019,-4
200337148,22-01-2019,18-01-2019,-4
200337148,22-01-2019,18-01-2019,-4
200418007,18-01-2019,18-01-2019,0
200486270,18-01-2019,18-01-2019,0
200561861,19-01-2019,18-01-2019,-1
200622385,14-01-2019,18-01-2019,4
200637319,17-01-2019,18-01-2019,1
200661137,23-01-2019,18-01-2019,-5
200703398,19-01-2019,18-01-2019,-1
200705089,18-01-2019,18-01-2019,0
200705742,06-02-2019,18-01-2019,-19
200707741,17-01-2019,18-01-2019,1
200729290,18-01-2019,18-01-2019,0
200736337,17-01-2019,18-01-2019,1
200739006,17-01-2019,18-01-2019,1
200739006,14-01-2019,18-01-2019,4
200739006,18-01-2019,18-01-2019,0
200739534,18-01-2019,18-01-2019,0
200739534,17-01-2019,18-01-2019,1
200743592,22-01-2019,18-01-2019,-4
200744019,14-01-2019,18-01-2019,4
200744019,14-01-2019,18-01-2019,4
200744019,14-01-2019,18-01-2019,4
200755701,17-01-2019,18-01-2019,1
200759878,18-01-2019,18-01-2019,0
200762301,19-01-2019,18-01-2019,-1
200762301,18-01-2019,18-01-2019,0
200763814,18-01-2019,18-01-2019,0
200764795,17-01-2019,18-01-2019,1
200769556,31-01-2019,18-01-2019,-13
200769623,22-01-2019,18-01-2019,-4
200769623,23-01-2019,18-01-2019,-5
200769623,23-01-2019,18-01-2019,-5
200769623,17-01-2019,18-01-2019,1
200769623,23-01-2019,18-01-2019,-5
200769623,22-01-2019,18-01-2019,-4
200769623,23-01-2019,18-01-2019,-5
200769623,23-01-2019,18-01-2019,-5
200769623,23-01-2019,18-01-2019,-5
200769623,23-01-2019,18-01-2019,-5
200769623,15-01-2019,18-01-2019,3
200769623,23-01-2019,18-01-2019,-5
200769623,17-01-2019,18-01-2019,1
200771157,18-01-2019,18-01-2019,0
200772670,17-01-2019,18-01-2019,1
200778870,17-01-2019,18-01-2019,1
200778998,19-01-2019,18-01-2019,-1
200779906,17-01-2019,18-01-2019,1
200779906,17-01-2019,18-01-2019,1
200779906,17-01-2019,18-01-2019,1
200780383,15-01-2019,18-01-2019,3
200780383,17-01-2019,18-01-2019,1
200780383,17-01-2019,18-01-2019,1
200780383,15-01-2019,18-01-2019,3
200780825,17-01-2019,18-01-2019,1
200786288,19-01-2019,18-01-2019,-1
200792293,18-01-2019,18-01-2019,0
200794332,19-01-2019,18-01-2019,-1
200794332,17-01-2019,18-01-2019,1
200794332,19-01-2019,18-01-2019,-1
200794332,15-01-2019,18-01-2019,3
200794332,19-01-2019,18-01-2019,-1
200794332,19-01-2019,18-01-2019,-1
200799342,20-01-2019,18-01-2019,-2
200799367,17-01-2019,18-01-2019,1
200799367,18-01-2019,18-01-2019,0
200865666,18-01-2019,18-01-2019,0
200865666,18-01-2019,18-01-2019,0
200875006,18-01-2019,18-01-2019,0
200915438,18-01-2019,18-01-2019,0
200936373,18-01-2019,18-01-2019,0
200936373,17-01-2019,18-01-2019,1
200943275,18-01-2019,18-01-2019,0
200965912,18-01-2019,18-01-2019,0
200739006,18-01-2019,19-01-2019,1
100025721,14-01-2019,21-01-2019,7
140104392,14-01-2019,21-01-2019,7
140104409,22-01-2019,21-01-2019,-1
140105847,20-01-2019,21-01-2019,1
140105847,19-01-2019,21-01-2019,2
140106293,21-01-2019,21-01-2019,0
140118172,02-02-2019,21-01-2019,-12
140118172,07-02-2019,21-01-2019,-17
100000222,26-01-2019,22-01-2019,-4
100000222,25-01-2019,22-01-2019,-3
100008001,28-01-2019,22-01-2019,-6
100012991,18-01-2019,22-01-2019,4
100015557,17-01-2019,22-01-2019,5
100031704,20-01-2019,22-01-2019,2
100032505,18-01-2019,22-01-2019,4
140103423,31-01-2019,22-01-2019,-9
140103423,31-01-2019,22-01-2019,-9
140104423,24-01-2019,22-01-2019,-2
140105713,25-01-2019,22-01-2019,-3
200029010,21-01-2019,22-01-2019,1
200096390,19-01-2019,22-01-2019,3
200290370,18-01-2019,22-01-2019,4
200290370,21-01-2019,22-01-2019,1
200290370,19-01-2019,22-01-2019,3
200290370,18-01-2019,22-01-2019,4
200315290,24-01-2019,22-01-2019,-2
200331749,19-01-2019,22-01-2019,3
200418007,19-01-2019,22-01-2019,3
200418007,19-01-2019,22-01-2019,3
200418007,19-01-2019,22-01-2019,3
200418007,19-01-2019,22-01-2019,3
200434439,19-01-2019,22-01-2019,3
200434439,19-01-2019,22-01-2019,3
200466603,21-01-2019,22-01-2019,1
200466603,19-01-2019,22-01-2019,3
200512145,23-02-2019,22-01-2019,-32
200696090,20-01-2019,22-01-2019,2
200700919,19-01-2019,22-01-2019,3
200704045,22-01-2019,22-01-2019,0
200704045,19-01-2019,22-01-2019,3
200704858,18-01-2019,22-01-2019,4
200704858,20-01-2019,22-01-2019,2
200705372,21-01-2019,22-01-2019,1
200705742,21-01-2019,22-01-2019,1
200705742,21-01-2019,22-01-2019,1
200705742,28-01-2019,22-01-2019,-6
200705742,28-01-2019,22-01-2019,-6
200705742,30-01-2019,22-01-2019,-8
200705742,19-01-2019,22-01-2019,3
200705742,28-01-2019,22-01-2019,-6
200706844,19-01-2019,22-01-2019,3
200706844,20-01-2019,22-01-2019,2
200707005,20-01-2019,22-01-2019,2
200707822,18-01-2019,22-01-2019,4
200707822,19-01-2019,22-01-2019,3
200707822,19-01-2019,22-01-2019,3
200707822,19-01-2019,22-01-2019,3
200707822,21-01-2019,22-01-2019,1
200707822,21-01-2019,22-01-2019,1
200707822,22-01-2019,22-01-2019,0
200707822,19-01-2019,22-01-2019,3
200707822,18-01-2019,22-01-2019,4
200707822,21-01-2019,22-01-2019,1
200708411,31-01-2019,22-01-2019,-9
200708411,29-01-2019,22-01-2019,-7
200711029,19-01-2019,22-01-2019,3
200711029,19-01-2019,22-01-2019,3
200712187,24-01-2019,22-01-2019,-2
200721222,22-01-2019,22-01-2019,0
200723406,23-01-2019,22-01-2019,-1
200723794,22-01-2019,22-01-2019,0
200726979,19-01-2019,22-01-2019,3
200726979,19-01-2019,22-01-2019,3
200726979,17-01-2019,22-01-2019,5
200726979,26-01-2019,22-01-2019,-4
200726979,19-01-2019,22-01-2019,3
200726979,19-01-2019,22-01-2019,3
200726979,18-01-2019,22-01-2019,4
200726979,26-01-2019,22-01-2019,-4
200729290,20-01-2019,22-01-2019,2
200731999,22-01-2019,22-01-2019,0
200732755,20-01-2019,22-01-2019,2
200732755,20-01-2019,22-01-2019,2
200732755,21-01-2019,22-01-2019,1
200741831,19-01-2019,22-01-2019,3
200743129,20-01-2019,22-01-2019,2
200744019,22-01-2019,22-01-2019,0
200744019,15-01-2019,22-01-2019,7
200744019,20-01-2019,22-01-2019,2
200744019,18-01-2019,22-01-2019,4
200744019,18-01-2019,22-01-2019,4
200744019,15-01-2019,22-01-2019,7
200744019,14-01-2019,22-01-2019,8
200744019,17-01-2019,22-01-2019,5
200744019,21-01-2019,22-01-2019,1
200744019,20-01-2019,22-01-2019,2
200747369,21-01-2019,22-01-2019,1
200747369,18-01-2019,22-01-2019,4
200747369,19-01-2019,22-01-2019,3
200749782,21-01-2019,22-01-2019,1
200759082,18-01-2019,22-01-2019,4
200759878,20-01-2019,22-01-2019,2
200759878,18-01-2019,22-01-2019,4
200759878,20-01-2019,22-01-2019,2
200759878,19-01-2019,22-01-2019,3
200759878,19-01-2019,22-01-2019,3
200759878,19-01-2019,22-01-2019,3
200759878,20-01-2019,22-01-2019,2
200759878,17-01-2019,22-01-2019,5
200759878,22-01-2019,22-01-2019,0
200759878,21-01-2019,22-01-2019,1
200759878,22-01-2019,22-01-2019,0
200759878,20-01-2019,22-01-2019,2
200759878,20-01-2019,22-01-2019,2
200759878,21-01-2019,22-01-2019,1
200759878,18-01-2019,22-01-2019,4
200762301,19-01-2019,22-01-2019,3
200762301,19-01-2019,22-01-2019,3
200762301,19-01-2019,22-01-2019,3
200762301,20-01-2019,22-01-2019,2
200762301,19-01-2019,22-01-2019,3
200762950,20-01-2019,22-01-2019,2
200762950,23-01-2019,22-01-2019,-1
200763229,22-01-2019,22-01-2019,0
200763814,18-01-2019,22-01-2019,4
200763814,17-01-2019,22-01-2019,5
200764795,19-01-2019,22-01-2019,3
200765011,19-01-2019,22-01-2019,3
200769369,20-01-2019,22-01-2019,2
200769556,22-01-2019,22-01-2019,0
200769623,27-01-2019,22-01-2019,-5
200769623,26-01-2019,22-01-2019,-4
200769623,27-01-2019,22-01-2019,-5
200769623,26-01-2019,22-01-2019,-4
200769623,25-01-2019,22-01-2019,-3
200769623,21-01-2019,22-01-2019,1
200769623,25-01-2019,22-01-2019,-3
200769623,23-01-2019,22-01-2019,-1
200769623,24-01-2019,22-01-2019,-2
200769623,17-01-2019,22-01-2019,5
200769623,27-01-2019,22-01-2019,-5
200769623,25-01-2019,22-01-2019,-3
200769623,25-01-2019,22-01-2019,-3
200769623,19-01-2019,22-01-2019,3
200769623,26-01-2019,22-01-2019,-4
200769623,26-01-2019,22-01-2019,-4
200769623,26-01-2019,22-01-2019,-4
200769623,25-01-2019,22-01-2019,-3
200769623,26-01-2019,22-01-2019,-4
200769623,27-01-2019,22-01-2019,-5
200769623,25-01-2019,22-01-2019,-3
200769623,27-01-2019,22-01-2019,-5
200769623,24-01-2019,22-01-2019,-2
200769623,25-01-2019,22-01-2019,-3
200769623,25-01-2019,22-01-2019,-3
200769623,22-01-2019,22-01-2019,0
200769623,27-01-2019,22-01-2019,-5
200769623,24-01-2019,22-01-2019,-2
200769623,25-01-2019,22-01-2019,-3
200769623,20-01-2019,22-01-2019,2
200769623,25-01-2019,22-01-2019,-3
200769623,25-01-2019,22-01-2019,-3
200769623,26-01-2019,22-01-2019,-4
200769623,19-01-2019,22-01-2019,3
200769623,19-01-2019,22-01-2019,3
200769623,20-01-2019,22-01-2019,2
200769623,26-01-2019,22-01-2019,-4
200769623,24-01-2019,22-01-2019,-2
200769623,26-01-2019,22-01-2019,-4
200769623,25-01-2019,22-01-2019,-3
200769623,17-01-2019,22-01-2019,5
200769623,25-01-2019,22-01-2019,-3
200769623,27-01-2019,22-01-2019,-5
200769623,20-01-2019,22-01-2019,2
200769623,24-01-2019,22-01-2019,-2
200769623,19-01-2019,22-01-2019,3
200769623,25-01-2019,22-01-2019,-3
200769623,20-01-2019,22-01-2019,2
200769623,26-01-2019,22-01-2019,-4
200769623,24-01-2019,22-01-2019,-2
200769623,20-01-2019,22-01-2019,2
200769623,24-01-2019,22-01-2019,-2
200769623,27-01-2019,22-01-2019,-5
200769623,26-01-2019,22-01-2019,-4
200769623,25-01-2019,22-01-2019,-3
200769623,25-01-2019,22-01-2019,-3
200769623,27-01-2019,22-01-2019,-5
200769623,24-01-2019,22-01-2019,-2
200769623,19-01-2019,22-01-2019,3
200769623,18-01-2019,22-01-2019,4
200769623,20-01-2019,22-01-2019,2
200769623,26-01-2019,22-01-2019,-4
200769623,25-01-2019,22-01-2019,-3
200769623,27-01-2019,22-01-2019,-5
200769623,17-01-2019,22-01-2019,5
200769623,24-01-2019,22-01-2019,-2
200769623,24-01-2019,22-01-2019,-2
200769623,25-01-2019,22-01-2019,-3
200769623,24-01-2019,22-01-2019,-2
200769623,23-01-2019,22-01-2019,-1
200769623,18-01-2019,22-01-2019,4
200769623,25-01-2019,22-01-2019,-3
200769623,25-01-2019,22-01-2019,-3
200769623,21-01-2019,22-01-2019,1
200769623,25-01-2019,22-01-2019,-3
200769623,26-01-2019,22-01-2019,-4
200769623,27-01-2019,22-01-2019,-5
200769623,25-01-2019,22-01-2019,-3
200769623,24-01-2019,22-01-2019,-2
200769623,25-01-2019,22-01-2019,-3
200769623,25-01-2019,22-01-2019,-3
200769623,24-01-2019,22-01-2019,-2
200769623,25-01-2019,22-01-2019,-3
200769623,27-01-2019,22-01-2019,-5
200769623,24-01-2019,22-01-2019,-2
200776463,20-01-2019,22-01-2019,2
200776463,22-01-2019,22-01-2019,0
200777735,22-01-2019,22-01-2019,0
